"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","top","postVar","treated"
"99",50,"Bundesliga","2008/2009",2008-09-27,"Hertha",0,1,18,21,1,0,"L",0,"HomeTeam","2008-09",1,0,0,1
"100",50,"Bundesliga","2008/2009",2008-09-27,"Cottbus",1,0,21,18,3,0,"W",0,"AwayTeam","2008-09",0,0,0,1
"101",51,"Bundesliga","2008/2009",2008-09-27,"Werder Bremen",5,4,23,19,0,1,"W",0,"HomeTeam","2008-09",1,0,0,1
"102",51,"Bundesliga","2008/2009",2008-09-27,"Hoffenheim",4,5,19,23,1,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"103",52,"Bundesliga","2008/2009",2008-09-28,"Ein Frankfurt",1,1,19,14,3,0,"D",0,"HomeTeam","2008-09",1,0,0,1
"104",52,"Bundesliga","2008/2009",2008-09-28,"Bielefeld",1,1,14,19,1,0,"D",0,"AwayTeam","2008-09",0,0,0,1
"105",53,"Bundesliga","2008/2009",2008-09-28,"Karlsruhe",2,1,20,17,2,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"106",53,"Bundesliga","2008/2009",2008-09-28,"Wolfsburg",1,2,17,20,1,1,"L",0,"AwayTeam","2008-09",0,1,0,1
"107",54,"Bundesliga","2008/2009",2008-10-03,"Bielefeld",1,2,17,18,2,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"108",54,"Bundesliga","2008/2009",2008-10-03,"Karlsruhe",2,1,18,17,2,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"109",55,"Bundesliga","2008/2009",2008-10-04,"Bayern Munich",3,3,13,18,2,0,"D",0,"HomeTeam","2008-10",1,1,0,1
"110",55,"Bundesliga","2008/2009",2008-10-04,"Bochum",3,3,18,13,3,0,"D",0,"AwayTeam","2008-10",0,0,0,1
"111",56,"Bundesliga","2008/2009",2008-10-04,"Hoffenheim",2,1,23,26,1,0,"W",0,"HomeTeam","2008-10",1,0,0,1
"112",56,"Bundesliga","2008/2009",2008-10-04,"Ein Frankfurt",1,2,26,23,3,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"113",57,"Bundesliga","2008/2009",2008-10-04,"Leverkusen",0,1,13,18,1,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"114",57,"Bundesliga","2008/2009",2008-10-04,"Hertha",1,0,18,13,2,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"115",58,"Bundesliga","2008/2009",2008-10-04,"M'gladbach",1,2,24,14,3,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"116",58,"Bundesliga","2008/2009",2008-10-04,"FC Koln",2,1,14,24,1,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"117",59,"Bundesliga","2008/2009",2008-10-04,"Stuttgart",4,1,12,21,3,0,"W",0,"HomeTeam","2008-10",1,1,0,1
"118",59,"Bundesliga","2008/2009",2008-10-04,"Werder Bremen",1,4,21,12,4,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"119",60,"Bundesliga","2008/2009",2008-10-05,"Cottbus",1,2,20,14,2,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"120",60,"Bundesliga","2008/2009",2008-10-05,"Hamburg",2,1,14,20,3,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"121",61,"Bundesliga","2008/2009",2008-10-05,"Dortmund",1,1,9,17,2,0,"D",0,"HomeTeam","2008-10",1,0,0,1
"122",61,"Bundesliga","2008/2009",2008-10-05,"Hannover",1,1,17,9,1,0,"D",0,"AwayTeam","2008-10",0,0,0,1
"123",62,"Bundesliga","2008/2009",2008-10-05,"Schalke 04",2,2,16,13,4,0,"D",0,"HomeTeam","2008-10",1,0,0,1
"124",62,"Bundesliga","2008/2009",2008-10-05,"Wolfsburg",2,2,13,16,2,1,"D",0,"AwayTeam","2008-10",0,1,0,1
"125",63,"Bundesliga","2008/2009",2008-10-17,"Bochum",2,2,17,16,4,0,"D",0,"HomeTeam","2008-10",1,0,0,1
"126",63,"Bundesliga","2008/2009",2008-10-17,"M'gladbach",2,2,16,17,3,0,"D",0,"AwayTeam","2008-10",0,0,0,1
"127",64,"Bundesliga","2008/2009",2008-10-18,"Ein Frankfurt",0,2,20,23,2,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"128",64,"Bundesliga","2008/2009",2008-10-18,"Leverkusen",2,0,23,20,5,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"129",65,"Bundesliga","2008/2009",2008-10-18,"FC Koln",1,0,19,19,2,0,"W",0,"HomeTeam","2008-10",1,0,0,1
"130",65,"Bundesliga","2008/2009",2008-10-18,"Cottbus",0,1,19,19,2,1,"L",0,"AwayTeam","2008-10",0,0,0,1
"131",66,"Bundesliga","2008/2009",2008-10-18,"Hannover",2,5,19,20,1,1,"L",0,"HomeTeam","2008-10",1,0,0,1
"132",66,"Bundesliga","2008/2009",2008-10-18,"Hoffenheim",5,2,20,19,2,0,"W",0,"AwayTeam","2008-10",0,0,0,1
"133",67,"Bundesliga","2008/2009",2008-10-18,"Hertha",2,1,17,11,2,0,"W",0,"HomeTeam","2008-10",1,0,0,1
"134",67,"Bundesliga","2008/2009",2008-10-18,"Stuttgart",1,2,11,17,1,0,"L",0,"AwayTeam","2008-10",0,1,0,1
"135",68,"Bundesliga","2008/2009",2008-10-18,"Karlsruhe",0,1,21,18,3,0,"L",0,"HomeTeam","2008-10",1,0,0,1
"136",68,"Bundesliga","2008/2009",2008-10-18,"Bayern Munich",1,0,18,21,2,0,"W",0,"AwayTeam","2008-10",0,1,0,1
"137",69,"Bundesliga","2008/2009",2008-10-18,"Werder Bremen",3,3,17,19,3,0,"D",0,"HomeTeam","2008-10",1,0,0,1
"138",69,"Bundesliga","2008/2009",2008-10-18,"Dortmund",3,3,19,17,2,0,"D",0,"AwayTeam","2008-10",0,0,0,1
"139",70,"Bundesliga","2008/2009",2008-10-18,"Wolfsburg",4,1,15,12,0,0,"W",0,"HomeTeam","2008-10",1,1,0,1
"140",70,"Bundesliga","2008/2009",2008-10-18,"Bielefeld",1,4,12,15,2,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"141",71,"Bundesliga","2008/2009",2008-10-19,"Hamburg",1,1,26,20,3,0,"D",0,"HomeTeam","2008-10",1,0,0,1
"142",71,"Bundesliga","2008/2009",2008-10-19,"Schalke 04",1,1,20,26,2,0,"D",0,"AwayTeam","2008-10",0,0,0,1
"143",72,"Bundesliga","2008/2009",2008-10-22,"Ein Frankfurt",2,1,17,14,3,0,"W",0,"HomeTeam","2008-10",1,0,0,1
"144",72,"Bundesliga","2008/2009",2008-10-22,"Karlsruhe",1,2,14,17,1,0,"L",0,"AwayTeam","2008-10",0,0,0,1
"145",73,"Bundesliga","2008/2009",2008-10-24,"Leverkusen",2,0,22,19,1,0,"W",0,"HomeTeam","2008-10",1,0,0,1
