"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","postVar","treated"
"106",53,"Bundesliga 2","2017/2018",2017-09-17,"Fortuna Dusseldorf",1,3,18,16,2,0,"L",0,"AwayTeam","2017-09",0,0,1
"107",54,"Bundesliga 2","2017/2018",2017-09-17,"Regensburg",0,2,16,19,2,0,"L",0,"HomeTeam","2017-09",1,0,1
"108",54,"Bundesliga 2","2017/2018",2017-09-17,"Dresden",2,0,19,16,2,0,"W",0,"AwayTeam","2017-09",0,0,1
"109",55,"Bundesliga 2","2017/2018",2017-09-19,"Holstein Kiel",0,1,12,10,4,1,"L",0,"HomeTeam","2017-09",1,0,1
"110",55,"Bundesliga 2","2017/2018",2017-09-19,"St Pauli",1,0,10,12,4,0,"W",0,"AwayTeam","2017-09",0,0,1
"111",56,"Bundesliga 2","2017/2018",2017-09-19,"Ingolstadt",2,2,11,10,1,0,"D",0,"HomeTeam","2017-09",1,0,1
"112",56,"Bundesliga 2","2017/2018",2017-09-19,"Duisburg",2,2,10,11,1,0,"D",0,"AwayTeam","2017-09",0,0,1
"113",57,"Bundesliga 2","2017/2018",2017-09-19,"Kaiserslautern",0,2,14,14,1,0,"L",0,"HomeTeam","2017-09",1,0,1
"114",57,"Bundesliga 2","2017/2018",2017-09-19,"Erzgebirge Aue",2,0,14,14,2,0,"W",0,"AwayTeam","2017-09",0,0,1
"115",58,"Bundesliga 2","2017/2018",2017-09-19,"Sandhausen",1,0,11,16,1,0,"W",0,"HomeTeam","2017-09",1,0,1
"116",58,"Bundesliga 2","2017/2018",2017-09-19,"Union Berlin",0,1,16,11,2,0,"L",0,"AwayTeam","2017-09",0,0,1
"117",59,"Bundesliga 2","2017/2018",2017-09-20,"Braunschweig",3,0,17,15,1,0,"W",0,"HomeTeam","2017-09",1,0,1
"118",59,"Bundesliga 2","2017/2018",2017-09-20,"Greuther Furth",0,3,15,17,1,0,"L",0,"AwayTeam","2017-09",0,0,1
"119",60,"Bundesliga 2","2017/2018",2017-09-20,"Dresden",0,2,7,19,0,0,"L",0,"HomeTeam","2017-09",1,0,1
"120",60,"Bundesliga 2","2017/2018",2017-09-20,"Bielefeld",2,0,19,7,1,0,"W",0,"AwayTeam","2017-09",0,0,1
